Title,Author,HTML_Link,Bookshelf
The Extermination of the American Bison,William T. Hornaday,https://www.gutenberg.org/cache/epub/17748/pg17748-images.html,Animal
Deadfalls and Snares,A. R. Harding,https://www.gutenberg.org/cache/epub/34110/pg34110-images.html,Animal
Artistic Anatomy of Animals,Édouard Cuyer,https://www.gutenberg.org/cache/epub/38315/pg38315-images.html,Animal
"Birds, Illustrated","Color Photography, Vol. 1, No. 1 Various",https://www.gutenberg.org/cache/epub/30221/pg30221-images.html,Animal
On Snake-Poison: Its Action and Its Antidote,A. Mueller,https://www.gutenberg.org/cache/epub/32947/pg32947-images.html,Animal
Fifty Years a Hunter and Trapper,E. N. Woodcock,https://www.gutenberg.org/cache/epub/34063/pg34063-images.html,Animal
What Bird is That?,Frank M. Chapman,https://www.gutenberg.org/cache/epub/31751/pg31751-images.html,Animal
"Fox Trapping: A Book of Instruction Telling How to Trap, Snare, Poison and Shoot",,https://www.gutenberg.org/cache/epub/34076/pg34076-images.html,Animal
A Guide for the Study of Animals,"Lucas, Shinn, Smallwood, and Whitney",https://www.gutenberg.org/cache/epub/34984/pg34984-images.html,Animal
Our Vanishing Wild Life: Its Extermination and Preservation,William T. Hornaday,https://www.gutenberg.org/cache/epub/13249/pg13249-images.html,Animal
Wolf and Coyote Trapping: An Up-to-Date Wolf Hunter's Guide,A. R. Harding,https://www.gutenberg.org/cache/epub/34501/pg34501-images.html,Animal
Birds and Man,W. H. Hudson,https://www.gutenberg.org/cache/epub/37787/pg37787-images.html,Animal
"Zoological Mythology; or, The Legends of Animals, Volume 1 (of 2)",De Gubernatis,https://www.gutenberg.org/cache/epub/38687/pg38687-images.html,Animal
Antarctic Penguins: A Study of Their Social Habits,G. Murray Levick,https://www.gutenberg.org/cache/epub/36922/pg36922-images.html,Animal
Butterflies and Moths (British),William S. Furneaux,https://www.gutenberg.org/cache/epub/34131/pg34131-images.html,Animal
The Bird Book,Chester A. Reed,https://www.gutenberg.org/cache/epub/30000/pg30000-images.html,Animal
Hunting in Many Lands: The Book of the Boone and Crockett Club,Grinnell et al.,https://www.gutenberg.org/cache/epub/37122/pg37122-images.html,Animal
Wild Animals at Home,Ernest Thompson Seton,https://www.gutenberg.org/cache/epub/27887/pg27887-images.html,Animal
Birds from North Borneo,Max C. Thompson,https://www.gutenberg.org/cache/epub/33044/pg33044-images.html,Animal
Sketches of the Natural History of Ceylon,Sir James Emerson Tennent,https://www.gutenberg.org/cache/epub/13325/pg13325-images.html,Animal
Natural History of the Mammalia of India and Ceylon,Robert Armitage Sterndale,https://www.gutenberg.org/cache/epub/19550/pg19550-images.html,Animal
Butterflies Worth Knowing,Clarence Moores Weed,https://www.gutenberg.org/cache/epub/37009/pg37009-images.html,Animal
Animals of the Past,Frederic A. Lucas,https://www.gutenberg.org/cache/epub/38013/pg38013-images.html,Animal
Science of Trapping,Elmer Harry Kreps,https://www.gutenberg.org/cache/epub/34098/pg34098-images.html,Animal
"Wild Bees, Wasps and Ants and Other Stinging Insects",Edward Saunders,https://www.gutenberg.org/cache/epub/33874/pg33874-images.html,Animal
The Call of the Wild,Jack London,https://www.gutenberg.org/cache/epub/215/pg215-images.html,Animals-Domestic
A Dog of Flanders,Ouida,https://www.gutenberg.org/cache/epub/7766/pg7766-images.html,Animals-Domestic
Our Cats and All About Them,Harrison Weir,https://www.gutenberg.org/cache/epub/35450/pg35450-images.html,Animals-Domestic
Lad: A Dog,Albert Payson Terhune,https://www.gutenberg.org/cache/epub/38777/pg38777-images.html,Animals-Domestic
The Tale of Old Dog Spot,Arthur Scott Bailey,https://www.gutenberg.org/cache/epub/30667/pg30667-images.html,Animals-Domestic
Kerfol,Edith Wharton,https://www.gutenberg.org/cache/epub/24350/pg24350-images.html,Animals-Domestic
Anecdotes of Dogs,Edward Jesse,https://www.gutenberg.org/cache/epub/26500/pg26500-images.html,Animals-Domestic
Letters from a Cat,Helen Hunt Jackson,https://www.gutenberg.org/cache/epub/32069/pg32069-images.html,Animals-Domestic
The Dog,"Dinks, W. N. Hutchinson, and Edward Mayhew",https://www.gutenberg.org/cache/epub/32300/pg32300-images.html,Animals-Domestic
Hunting Dogs,Oliver Hartley,https://www.gutenberg.org/cache/epub/34259/pg34259-images.html,Animals-Domestic
"The Variation of Animals and Plants Under Domestication, Vol. I.",Charles Darwin,https://www.gutenberg.org/cache/epub/24923/pg24923-images.html,Animals-Domestic
"The Adventures of a Cat, and a Fine Cat Too!",Alfred Elwes,https://www.gutenberg.org/cache/epub/32518/pg32518-images.html,Animals-Domestic
Domestic Animals,Richard Lamb Allen,https://www.gutenberg.org/cache/epub/34175/pg34175-images.html,Animals-Domestic
"A Manual of Toy Dogs: How to breed, rear, and feed them",Mrs. Leslie Williams,https://www.gutenberg.org/cache/epub/39235/pg39235-images.html,Animals-Domestic
Our Friend the Dog,Maurice Maeterlinck,https://www.gutenberg.org/cache/epub/18214/pg18214-images.html,Animals-Domestic
The Dog's Book of Verse,J. Earl Clauson,https://www.gutenberg.org/cache/epub/19226/pg19226-images.html,Animals-Domestic
Pussy and Doggy Tales,E. Nesbit,https://www.gutenberg.org/cache/epub/27190/pg27190-images.html,Animals-Domestic
The Variation of Animals and Plants under Domestication,Charles Darwin,https://www.gutenberg.org/cache/epub/3332/pg3332-images.html,Animals-Domestic
The Kitten's Garden of Verses,Oliver Herford,https://www.gutenberg.org/cache/epub/23433/pg23433-images.html,Animals-Domestic
The Raising and Care of Guinea Pigs,Allen Christian Smith,https://www.gutenberg.org/cache/epub/32189/pg32189-images.html,Animals-Domestic
Domesticated Animals,Nathaniel Southgate Shaler,https://www.gutenberg.org/cache/epub/25568/pg25568-images.html,Animals-Domestic
Finn The Wolfhound,A. J. Dawson,https://www.gutenberg.org/cache/epub/30550/pg30550-images.html,Animals-Domestic
